,801001,801002,801003,801005,801300,发布日期
97,2972.55,5596.92,3317.0,2111.97,2795.83,2019/9/24 0:00:00
98,2962.88,5587.65,3306.91,2099.81,2787.46,2019/9/23 0:00:00
99,2997.18,5627.62,3339.77,2116.46,2818.47,2019/9/20 0:00:00
100,2991.88,5612.48,3332.78,2117.26,2808.1,2019/9/19 0:00:00
101,2985.45,5553.06,3308.52,2084.28,2794.45,2019/9/18 0:00:00
102,2967.92,5536.32,3298.7,2085.0,2782.74,2019/9/17 0:00:00
103,3013.99,5653.74,3364.12,2135.89,2832.1,2019/9/16 0:00:00
104,3035.86,5625.81,3364.26,2124.74,2841.07,2019/9/12 0:00:00
105,2995.46,5594.78,3337.18,2112.83,2812.6,2019/9/11 0:00:00
106,3024.63,5648.61,3361.45,2135.18,2835.61,2019/9/10 0:00:00
107,3037.62,5649.81,3366.71,2138.59,2848.15,2019/9/9 0:00:00
108,3030.77,5530.6,3319.54,2080.19,2824.03,2019/9/6 0:00:00
109,3007.29,5514.52,3304.1,2072.17,2809.38,2019/9/5 0:00:00
110,2975.48,5460.33,3272.64,2048.03,2778.95,2019/9/4 0:00:00
111,2953.73,5429.7,3246.61,2033.92,2758.16,2019/9/3 0:00:00
112,2953.45,5373.4,3233.67,2017.78,2750.36,2019/9/2 0:00:00
113,2923.09,5256.18,3175.16,1959.55,2711.99,2019/8/30 0:00:00
114,2902.99,5319.83,3190.41,1984.75,2706.03,2019/8/29 0:00:00
115,2911.22,5322.63,3194.87,1983.77,2710.59,2019/8/28 0:00:00
116,2922.78,5333.41,3202.68,1986.41,2720.42,2019/8/27 0:00:00
117,2886.23,5229.86,3153.54,1948.38,2682.85,2019/8/26 0:00:00
118,2942.78,5270.33,3187.41,1964.33,2721.2,2019/8/23 0:00:00
119,2913.76,5269.01,3177.05,1970.27,2701.33,2019/8/22 0:00:00
120,2898.8,5251.41,3167.12,1962.47,2692.6,2019/8/21 0:00:00
121,2901.63,5255.25,3167.75,1960.33,2694.52,2019/8/20 0:00:00
122,2902.27,5250.95,3166.86,1964.03,2697.23,2019/8/19 0:00:00
123,2848.75,5099.51,3085.7,1896.03,2636.84,2019/8/16 0:00:00
124,2836.7,5068.13,3070.87,1884.06,2623.78,2019/8/15 0:00:00
125,2827.78,5037.31,3059.01,1865.63,2613.57,2019/8/14 0:00:00
126,2813.81,5006.27,3042.84,1852.0,2600.75,2019/8/13 0:00:00
127,2845.57,5047.15,3064.75,1867.39,2624.86,2019/8/12 0:00:00
128,2785.82,4943.58,3010.52,1826.53,2575.24,2019/8/9 0:00:00
129,2815.1,5003.66,3042.81,1847.49,2601.47,2019/8/8 0:00:00
130,2770.13,4963.06,3011.36,1823.77,2563.97,2019/8/7 0:00:00
131,2788.59,4983.81,3022.81,1836.89,2577.5,2019/8/6 0:00:00
132,2809.36,5086.97,3076.99,1875.95,2605.08,2019/8/5 0:00:00
133,2864.09,5157.67,3125.38,1900.19,2652.95,2019/8/2 0:00:00
134,2908.16,5246.01,3172.18,1926.52,2692.47,2019/8/1 0:00:00
135,2932.14,5266.03,3193.14,1924.24,2713.95,2019/7/31 0:00:00
136,2964.57,5294.41,3217.82,1934.9,2737.96,2019/7/30 0:00:00
137,2950.72,5275.47,3204.35,1923.27,2727.61,2019/7/29 0:00:00
138,2952.39,5270.24,3206.48,1918.32,2729.56,2019/7/26 0:00:00
139,2948.97,5260.09,3201.03,1923.57,2724.16,2019/7/25 0:00:00
140,2920.45,5219.42,3182.35,1914.02,2699.45,2019/7/24 0:00:00
141,2897.43,5156.51,3151.35,1886.54,2676.15,2019/7/23 0:00:00
142,2900.98,5099.57,3130.74,1857.13,2667.75,2019/7/22 0:00:00
143,2909.61,5196.9,3181.83,1903.93,2689.42,2019/7/19 0:00:00
144,2877.91,5169.7,3156.5,1888.43,2664.47,2019/7/18 0:00:00
145,2899.82,5265.51,3199.86,1925.16,2693.03,2019/7/17 0:00:00
146,2904.79,5252.32,3200.64,1921.43,2693.42,2019/7/16 0:00:00
147,2928.23,5249.59,3205.48,1918.79,2706.87,2019/7/15 0:00:00
148,2921.21,5195.95,3182.14,1888.34,2690.98,2019/7/12 0:00:00
149,2898.6,5176.84,3167.79,1885.53,2673.64,2019/7/11 0:00:00
150,2894.16,5188.27,3168.84,1884.29,2675.64,2019/7/10 0:00:00
151,2893.12,5221.13,3182.55,1893.47,2680.21,2019/7/9 0:00:00
152,2904.76,5211.88,3181.63,1880.13,2686.35,2019/7/8 0:00:00
153,2966.54,5368.24,3273.53,1944.61,2750.12,2019/7/5 0:00:00
154,2941.91,5340.26,3258.72,1929.71,2733.06,2019/7/4 0:00:00
155,2956.58,5377.71,3274.2,1942.94,2748.61,2019/7/3 0:00:00
156,3002.22,5438.93,3309.15,1971.88,2783.25,2019/7/2 0:00:00
157,3002.03,5434.42,3309.03,1971.58,2782.88,2019/7/1 0:00:00
158,2906.16,5252.23,3214.37,1902.81,2699.41,2019/6/28 0:00:00
159,2911.76,5311.82,3238.2,1931.35,2705.87,2019/6/27 0:00:00
160,2873.8,5253.47,3208.1,1910.43,2674.91,2019/6/26 0:00:00
161,2874.66,5242.02,3211.85,1905.56,2677.34,2019/6/25 0:00:00
162,2911.83,5305.43,3244.27,1928.4,2705.5,2019/6/24 0:00:00
163,2903.03,5310.01,3241.64,1939.07,2699.45,2019/6/21 0:00:00
164,2907.6,5238.9,3213.59,1892.35,2693.93,2019/6/20 0:00:00
165,2807.91,5155.87,3139.41,1862.91,2613.76,2019/6/19 0:00:00
166,2766.21,5077.85,3097.68,1836.98,2578.42,2019/6/18 0:00:00
167,2752.45,5073.89,3093.37,1829.63,2569.53,2019/6/17 0:00:00
168,2749.56,5087.44,3094.06,1836.86,2571.36,2019/6/14 0:00:00
169,2763.89,5190.31,3139.04,1877.21,2593.58,2019/6/13 0:00:00
170,2769.47,5168.57,3132.37,1863.74,2596.69,2019/6/12 0:00:00
171,2791.07,5205.56,3152.59,1873.54,2615.44,2019/6/11 0:00:00
172,2709.99,5023.42,3049.8,1802.64,2535.6,2019/6/10 0:00:00
173,2667.68,4949.16,3013.11,1779.77,2501.96,2019/6/6 0:00:00
174,2688.28,5068.5,3064.56,1830.27,2528.58,2019/6/5 0:00:00
175,2687.45,5079.14,3065.88,1830.84,2530.66,2019/6/4 0:00:00
176,2713.73,5153.24,3104.27,1856.33,2556.47,2019/6/3 0:00:00
177,2702.34,5211.99,3125.57,1882.9,2556.66,2019/5/31 0:00:00
178,2717.15,5216.3,3131.46,1880.82,2565.84,2019/5/30 0:00:00
179,2735.7,5247.86,3150.74,1897.1,2582.98,2019/5/29 0:00:00
180,2732.11,5247.7,3149.52,1895.13,2586.98,2019/5/28 0:00:00
181,2701.34,5225.43,3132.19,1887.36,2561.74,2019/5/27 0:00:00
182,2681.06,5090.73,3070.37,1824.79,2526.23,2019/5/24 0:00:00
183,2662.07,5132.47,3080.18,1843.13,2522.08,2019/5/23 0:00:00
184,2718.26,5275.46,3144.77,1892.12,2571.53,2019/5/22 0:00:00
185,2731.97,5311.11,3160.19,1893.23,2580.97,2019/5/21 0:00:00
186,2702.58,5204.16,3110.51,1863.96,2544.74,2019/5/20 0:00:00
187,2726.37,5260.03,3131.22,1864.56,2565.03,2019/5/17 0:00:00
188,2785.93,5434.63,3228.2,1932.68,2630.98,2019/5/16 0:00:00
189,2779.2,5413.76,3210.49,1927.75,2620.91,2019/5/15 0:00:00
190,2707.06,5294.76,3139.86,1886.01,2560.77,2019/5/14 0:00:00
191,2723.07,5332.79,3161.82,1895.96,2577.55,2019/5/13 0:00:00
192,2773.3,5402.84,3200.9,1920.8,2623.34,2019/5/10 0:00:00
193,2667.78,5209.51,3086.91,1842.23,2527.33,2019/5/9 0:00:00
194,2726.08,5272.19,3131.36,1852.22,2573.85,2019/5/8 0:00:00
195,2770.22,5310.76,3160.74,1861.21,2612.71,2019/5/7 0:00:00
196,2751.73,5244.32,3124.51,1844.49,2587.69,2019/5/6 0:00:00
197,2913.42,5665.88,3349.07,2005.97,2754.97,2019/4/30 0:00:00
198,2919.81,5621.63,3327.84,1994.45,2747.07,2019/4/29 0:00:00
